,fecha_opreal,hora_opreal,central_infotecnica_id,central_nombre,central_tipo,central_tipo_nemotecnico,generacion_real_mwh,generacion_real_ernc_mwh
40012,2021-04-03,18,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
40224,2021-04-03,8,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
41152,2021-04-03,19,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
41784,2021-04-03,9,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
42369,2021-04-03,20,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
43456,2021-04-03,10,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
43519,2021-04-03,21,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
44554,2021-04-03,22,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
45023,2021-04-03,12,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
45820,2021-04-03,25,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
46451,2021-04-03,24,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
46896,2021-04-03,5,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
47976,2021-04-03,23,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
48794,2021-04-04,1,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
48805,2021-04-04,13,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
49819,2021-04-04,2,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
50726,2021-04-04,6,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
50850,2021-04-04,3,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
51798,2021-04-04,4,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
52483,2021-04-04,20,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
52877,2021-04-04,5,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
53959,2021-04-04,7,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
54624,2021-04-04,8,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
55289,2021-04-04,9,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
55954,2021-04-04,10,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
56618,2021-04-04,11,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
57282,2021-04-04,12,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
57946,2021-04-04,14,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
58610,2021-04-04,15,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
59274,2021-04-04,16,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
59938,2021-04-04,17,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
60603,2021-04-04,18,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
61268,2021-04-04,19,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
61933,2021-04-04,21,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
62598,2021-04-04,22,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
63263,2021-04-04,23,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
63928,2021-04-04,24,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
64719,2021-04-05,2,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
64776,2021-04-05,1,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
65771,2021-04-05,3,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
66589,2021-04-05,4,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
67343,2021-04-05,5,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
67633,2021-04-05,15,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
68118,2021-04-05,6,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
69074,2021-04-05,7,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
69826,2021-04-05,10,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
70096,2021-04-05,8,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
71221,2021-04-05,24,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
71498,2021-04-05,9,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
72573,2021-04-05,11,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
73238,2021-04-05,12,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
73903,2021-04-05,13,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
74568,2021-04-05,14,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
75233,2021-04-05,16,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
75898,2021-04-05,17,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
76563,2021-04-05,18,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
77228,2021-04-05,19,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
77893,2021-04-05,20,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
78558,2021-04-05,21,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
79223,2021-04-05,22,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
79888,2021-04-05,23,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
80692,2021-04-06,4,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
80735,2021-04-06,1,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
81996,2021-04-06,2,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
82131,2021-04-06,17,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
83226,2021-04-06,3,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
83541,2021-04-06,14,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
84514,2021-04-06,5,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
85208,2021-04-06,6,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
85873,2021-04-06,7,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
86538,2021-04-06,8,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
87203,2021-04-06,9,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
87868,2021-04-06,10,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
88533,2021-04-06,11,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
89198,2021-04-06,12,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
89863,2021-04-06,13,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
90528,2021-04-06,15,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
91192,2021-04-06,16,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
91856,2021-04-06,18,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
92521,2021-04-06,19,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
93186,2021-04-06,20,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
93851,2021-04-06,21,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
94516,2021-04-06,22,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
95181,2021-04-06,23,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
95846,2021-04-06,24,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
96532,2021-04-07,1,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
